park_name,category,category
Acadia National Park,Amphibian,15
Acadia National Park,Bird,364
Acadia National Park,Fish,38
Acadia National Park,Mammal,55
Acadia National Park,Reptile,11
Acadia National Park,Vascular Plant,1226
Arches National Park,Amphibian,8
Arches National Park,Bird,205
Arches National Park,Fish,11
Arches National Park,Mammal,59
Arches National Park,Reptile,20
Arches National Park,Vascular Plant,745
Badlands National Park,Amphibian,10
Badlands National Park,Bird,239
Badlands National Park,Fish,24
Badlands National Park,Fungi,173
Badlands National Park,Insect,239
Badlands National Park,Invertebrate,1
Badlands National Park,Mammal,64
Badlands National Park,Reptile,13
Badlands National Park,Spider/Scorpion,1
Badlands National Park,Vascular Plant,625
Big Bend National Park,Amphibian,13
Big Bend National Park,Bird,415
Big Bend National Park,Fish,53
Big Bend National Park,Mammal,89
Big Bend National Park,Nonvascular Plant,48
Big Bend National Park,Reptile,62
Big Bend National Park,Vascular Plant,1589
Biscayne National Park,Amphibian,8
Biscayne National Park,Bird,233
Biscayne National Park,Fish,818
Biscayne National Park,Insect,11
Biscayne National Park,Invertebrate,34
Biscayne National Park,Mammal,28
Biscayne National Park,Reptile,40
Biscayne National Park,Vascular Plant,554
Black Canyon of the Gunnison National Park,Amphibian,2
Black Canyon of the Gunnison National Park,Bird,175
Black Canyon of the Gunnison National Park,Fish,16
Black Canyon of the Gunnison National Park,Mammal,67
Black Canyon of the Gunnison National Park,Reptile,11
Black Canyon of the Gunnison National Park,Vascular Plant,835
Bryce Canyon National Park,Amphibian,4
Bryce Canyon National Park,Bird,217
Bryce Canyon National Park,Fish,1
Bryce Canyon National Park,Mammal,76
Bryce Canyon National Park,Reptile,13
Bryce Canyon National Park,Vascular Plant,975
Canyonlands National Park,Amphibian,7
Canyonlands National Park,Bird,220
Canyonlands National Park,Fish,33
Canyonlands National Park,Mammal,76
Canyonlands National Park,Reptile,22
Canyonlands National Park,Vascular Plant,865
Capitol Reef National Park,Amphibian,6
Capitol Reef National Park,Bird,248
Capitol Reef National Park,Fish,15
Capitol Reef National Park,Mammal,73
Capitol Reef National Park,Reptile,21
Capitol Reef National Park,Vascular Plant,1203
Carlsbad Caverns National Park,Amphibian,15
